qps,conns,run,p50,p75,p90,p99,p999,max,rps,error_rate_pct,total,errors
50,4,1,0.000207374,0.000339949,0.000419494,0.000467221,0.000471994,0.000472524,50.0,0.0,1500.0,
50,4,2,0.000125011,0.000184258,0.000219806,0.000241135,0.000243268,0.000243505,50.0,0.0,1500.0,
100,8,1,0.000208723,0.000300628,0.000355772,0.000388858,0.000392166,0.000392534,100.0,0.0,3000.0,
100,8,2,0.000327099,0.000485377,0.000580345,0.000637325,0.000643023,0.000643656,100.0,0.0,3000.0,
200,16,1,0.000462432,0.000689174,0.00082522,0.000906847,0.00091501,0.000915917,200.0,0.0,6000.0,
200,16,2,0.00055132,0.000807709,0.000961542,0.00113422,0.00115722,0.00115978,200.0,0.0,6000.0,
400,32,1,0.00163636,0.0024,0.00288,0.00314425,0.00316898,0.00317173,399.9,0.0,12000.0,
400,32,2,0.00135,0.00175,0.00199,0.00215602,0.00217278,0.00217465,399.9,0.0,12000.0,
800,64,1,0.0383721,0.0401995,0.0411574,0.041732,0.0417895,0.0417959,799.8,0.0,24000.0,
800,64,2,0.000893779,0.00163158,0.00237143,0.0457513,0.0469534,0.047087,799.8,0.0,24000.0,
1600,64,1,0.0013913,0.00218182,0.00312,0.0371998,0.0381315,0.038235,1599.6,0.0,48000.0,
1600,64,2,0.00375,0.00492857,0.00586,0.0312332,0.0313962,0.0314143,1599.8,0.0,48000.0,
