qps,conns,run,p50,p75,p90,p99,p999,max,rps,error_rate_pct,total,errors
50,4,1,0.000179848,0.000277536,0.000336148,0.000371316,0.000374832,0.000375223,50.0,0.0,6000.0,
50,4,2,0.000119778,0.000168011,0.00019695,0.000214314,0.00021605,0.000216243,50.0,0.0,6000.0,
100,8,1,0.000262446,0.000387179,0.00046202,0.000506924,0.000511414,0.000511913,100.0,0.0,12000.0,
100,8,2,0.000154182,0.000209733,0.000243063,0.000263061,0.000265061,0.000265283,100.0,0.0,12000.0,
200,16,1,0.0025,0.003,0.00319012,0.00330419,0.00331559,0.00331686,200.0,0.0,24000.0,
200,16,2,0.00116667,0.00183333,0.00208887,0.00218028,0.00218942,0.00219044,200.0,0.0,24000.0,
400,32,1,0.000889686,0.00154545,0.00198182,0.0022512,0.00227819,0.00228119,400.0,0.0,48000.0,
400,32,2,0.000802519,0.00133004,0.00172608,0.00196371,0.00198747,0.00199012,400.0,0.0,48000.0,
800,64,1,0.000918554,0.00186667,0.00295,0.0355305,0.0355875,0.0355938,799.9,0.0,96000.0,
800,64,2,0.0025,0.005,0.00587273,0.0304818,0.0312527,0.0313384,799.9,0.0,96000.0,
1600,64,1,0.00255556,0.0043,0.00537143,0.0500305,0.0500794,0.0500848,1600.0,0.0,192000.0,
1600,64,2,0.00361538,0.00478571,0.00612,0.0462402,0.0482246,0.0484451,1599.9,0.0,192000.0,
