NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                     MESSAGE
monitoring    59m         Warning   FailedScheduling          pod/prometheus-kube-prometheus-operator-5bd97f6986-zf7b4   no nodes available to schedule pods
monitoring    59m         Warning   FailedScheduling          pod/prometheus-grafana-5875d7786f-kjddx                    no nodes available to schedule pods
kube-system   59m         Warning   FailedScheduling          pod/coredns-7889d86cb8-h79c7                               no nodes available to schedule pods
benchmark     59m         Warning   FailedScheduling          pod/echo-ffc5c485d-gh84b                                   no nodes available to schedule pods
kube-system   60m         Warning   FailedScheduling          pod/cilium-operator-8c598ddf5-94j9j                        no nodes available to schedule pods
kube-system   60m         Warning   FailedScheduling          pod/cilium-operator-8c598ddf5-n2jpd                        no nodes available to schedule pods
monitoring    59m         Warning   FailedScheduling          pod/prometheus-prometheus-kube-prometheus-prometheus-0     no nodes available to schedule pods
monitoring    59m         Warning   FailedScheduling          pod/prometheus-kube-state-metrics-7cdf9894f9-67vrk         no nodes available to schedule pods
benchmark     59m         Warning   FailedScheduling          pod/fortio-cf9999755-5h8nt                                 no nodes available to schedule pods
kube-system   59m         Normal    SuccessfulCreate          daemonset/cilium                                           Created pod: cilium-6dt5x
kube-system   59m         Normal    SuccessfulCreate          daemonset/cilium-envoy                                     Created pod: cilium-envoy-8hk8m
monitoring    59m         Normal    Scheduled                 pod/prometheus-prometheus-node-exporter-7w79c              Successfully assigned monitoring/prometheus-prometheus-node-exporter-7w79c to ip-10-0-10-206.ap-southeast-1.compute.internal
default       59m         Normal    Starting                  node/ip-10-0-10-206.ap-southeast-1.compute.internal        Starting kubelet.
kube-system   59m         Normal    Scheduled                 pod/kube-proxy-4hn9s                                       Successfully assigned kube-system/kube-proxy-4hn9s to ip-10-0-10-206.ap-southeast-1.compute.internal
kube-system   59m         Warning   FailedScheduling          pod/cilium-envoy-8hk8m                                     0/1 nodes are available: 1 node(s) didn't match pod affinity rules. no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system   59m         Normal    Scheduled                 pod/cilium-envoy-8hk8m                                     Successfully assigned kube-system/cilium-envoy-8hk8m to ip-10-0-10-206.ap-southeast-1.compute.internal
monitoring    59m         Normal    SuccessfulCreate          daemonset/prometheus-prometheus-node-exporter              Created pod: prometheus-prometheus-node-exporter-7w79c
