NAMESPACE     LAST SEEN   TYPE      REASON             OBJECT                                                         MESSAGE
monitoring    55m         Warning   Unhealthy          pod/prometheus-grafana-5875d7786f-kjddx                        Readiness probe failed: Get "http://10.96.0.233:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    57m         Normal    Pulled             pod/prometheus-kube-state-metrics-7cdf9894f9-67vrk             Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" already present on machine
monitoring    59m         Normal    Pulled             pod/prometheus-prometheus-kube-prometheus-prometheus-0         Container image "quay.io/prometheus/prometheus:v2.52.0" already present on machine
monitoring    59m         Normal    Created            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Created container: prometheus
monitoring    59m         Normal    Started            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Started container prometheus
monitoring    55m         Warning   BackOff            pod/prometheus-kube-state-metrics-7cdf9894f9-67vrk             Back-off restarting failed container kube-state-metrics in pod prometheus-kube-state-metrics-7cdf9894f9-67vrk_monitoring(560eb59b-70e5-4db3-a52a-88c05040accc)
monitoring    55m         Warning   Unhealthy          pod/prometheus-prometheus-kube-prometheus-prometheus-0         Startup probe failed: Get "http://10.96.0.230:9090/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    58m         Normal    Created            pod/prometheus-grafana-5875d7786f-kjddx                        Created container: grafana
monitoring    58m         Normal    Pulled             pod/prometheus-grafana-5875d7786f-kjddx                        Container image "docker.io/grafana/grafana:11.0.0" already present on machine
monitoring    58m         Normal    Killing            pod/prometheus-grafana-5875d7786f-kjddx                        Container grafana failed liveness probe, will be restarted
monitoring    58m         Normal    Started            pod/prometheus-grafana-5875d7786f-kjddx                        Started container grafana
monitoring    59m         Normal    Killing            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Container prometheus failed startup probe, will be restarted
kube-system   57m         Normal    Pulled             pod/coredns-7889d86cb8-86x4t                                   Container image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.4" already present on machine
kube-system   57m         Normal    Killing            pod/coredns-7889d86cb8-hlrjq                                   Stopping container coredns
kube-system   57m         Normal    Scheduled          pod/coredns-7889d86cb8-65j5x                                   Successfully assigned kube-system/coredns-7889d86cb8-65j5x to ip-10-0-10-244.ap-southeast-1.compute.internal
kube-system   57m         Normal    SuccessfulCreate   replicaset/coredns-7889d86cb8                                  Created pod: coredns-7889d86cb8-65j5x
kube-system   57m         Normal    SuccessfulCreate   replicaset/coredns-7889d86cb8                                  Created pod: coredns-7889d86cb8-86x4t
kube-system   57m         Normal    Scheduled          pod/coredns-7889d86cb8-86x4t                                   Successfully assigned kube-system/coredns-7889d86cb8-86x4t to ip-10-0-10-206.ap-southeast-1.compute.internal
kube-system   57m         Normal    Killing            pod/coredns-7889d86cb8-pbbbl                                   Stopping container coredns
kube-system   57m         Normal    Created            pod/coredns-7889d86cb8-86x4t                                   Created container: coredns
kube-system   57m         Normal    Started            pod/coredns-7889d86cb8-86x4t                                   Started container coredns
kube-system   57m         Normal    Pulling            pod/coredns-7889d86cb8-65j5x                                   Pulling image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.4"
kube-system   57m         Normal    Started            pod/coredns-7889d86cb8-65j5x                                   Started container coredns
kube-system   57m         Normal    Created            pod/coredns-7889d86cb8-65j5x                                   Created container: coredns
kube-system   57m         Normal    Pulled             pod/coredns-7889d86cb8-65j5x                                   Successfully pulled image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.4" in 1.368s (1.368s including waiting). Image size: 25994393 bytes.
benchmark     57m         Normal    SuccessfulCreate   replicaset/echo-ffc5c485d                                      Created pod: echo-ffc5c485d-mvxfv
benchmark     57m         Normal    SuccessfulCreate   replicaset/fortio-cf9999755                                    Created pod: fortio-cf9999755-nj287
benchmark     57m         Normal    Killing            pod/echo-ffc5c485d-lcwv4                                       Stopping container echo
benchmark     57m         Normal    Scheduled          pod/fortio-cf9999755-nj287                                     Successfully assigned benchmark/fortio-cf9999755-nj287 to ip-10-0-10-72.ap-southeast-1.compute.internal
benchmark     57m         Normal    Killing            pod/fortio-cf9999755-6p566                                     Stopping container fortio
benchmark     57m         Normal    Scheduled          pod/echo-ffc5c485d-mvxfv                                       Successfully assigned benchmark/echo-ffc5c485d-mvxfv to ip-10-0-10-72.ap-southeast-1.compute.internal
benchmark     57m         Normal    Pulled             pod/echo-ffc5c485d-mvxfv                                       Container image "hashicorp/http-echo:1.0" already present on machine
benchmark     57m         Normal    Created            pod/echo-ffc5c485d-mvxfv                                       Created container: echo
benchmark     57m         Normal    Pulled             pod/fortio-cf9999755-nj287                                     Container image "fortio/fortio:1.74.0" already present on machine
benchmark     57m         Normal    Started            pod/echo-ffc5c485d-mvxfv                                       Started container echo
benchmark     57m         Normal    Created            pod/fortio-cf9999755-nj287                                     Created container: fortio
