NAMESPACE     LAST SEEN   TYPE      REASON              OBJECT                                                   MESSAGE
kube-system   2m21s       Normal    Killing             pod/hubble-relay-7cf68b958c-2lhv6                        Container hubble-relay failed startup probe, will be restarted
kube-system   3m31s       Normal    Pulled              pod/hubble-relay-7cf68b958c-2lhv6                        Container image "quay.io/cilium/hubble-relay:v1.18.7@sha256:9bb9b2b1a4f4bef12a77738756cfbf970daa701e536e42f0a9c64a621bc7c9d5" already present on machine
kube-system   7m14s       Warning   BackOff             pod/hubble-relay-7cf68b958c-2lhv6                        Back-off restarting failed container hubble-relay in pod hubble-relay-7cf68b958c-2lhv6_kube-system(f15fac60-33cb-49e9-ab49-ccc9114cbbc0)
kube-system   58m         Normal    Created             pod/cilium-operator-594bf6455-tqz7k                      Created container: cilium-operator
kube-system   58m         Normal    Pulled              pod/cilium-operator-594bf6455-tqz7k                      Container image "quay.io/cilium/operator-aws:v1.18.7" already present on machine
kube-system   57m         Normal    Created             pod/cilium-operator-594bf6455-jtthb                      Created container: cilium-operator
kube-system   54m         Warning   BackOff             pod/cilium-operator-594bf6455-tqz7k                      Back-off restarting failed container cilium-operator in pod cilium-operator-594bf6455-tqz7k_kube-system(e2e936b7-9353-4e8e-9a24-469ceab78b28)
kube-system   57m         Normal    Pulled              pod/cilium-operator-594bf6455-jtthb                      Container image "quay.io/cilium/operator-aws:v1.18.7" already present on machine
kube-system   54m         Warning   BackOff             pod/cilium-operator-594bf6455-jtthb                      Back-off restarting failed container cilium-operator in pod cilium-operator-594bf6455-jtthb_kube-system(47ac00d6-aa95-4559-8d6b-36aceace24ca)
kube-system   50m         Normal    Pulled              pod/cilium-tdx52                                         Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   58m         Normal    Created             pod/cilium-tdx52                                         Created container: cilium-agent
kube-system   50m         Normal    Pulled              pod/cilium-l7srh                                         Container image "quay.io/cilium/cilium:v1.18.7@sha256:99b029a0a7c2224dac8c1cc3b6b3ba52af00e2ff981d927e84260ee781e9753c" already present on machine
kube-system   50m         Normal    Created             pod/cilium-l7srh                                         Created container: cilium-agent
kube-system   50m         Warning   Unhealthy           pod/cilium-l7srh                                         Startup probe failed: Get "http://127.0.0.1:9879/healthz": dial tcp 127.0.0.1:9879: connect: connection refused
kube-system   55m         Warning   BackOff             pod/cilium-tdx52                                         Back-off restarting failed container cilium-agent in pod cilium-tdx52_kube-system(2da2a333-67f7-417e-8b06-45386148621b)
kube-system   55m         Warning   BackOff             pod/cilium-l7srh                                         Back-off restarting failed container cilium-agent in pod cilium-l7srh_kube-system(c3a7d965-2f9a-4755-99b3-2fb95f734d6a)
kube-system   53m         Normal    ScalingReplicaSet   deployment/cilium-operator                               Scaled up replica set cilium-operator-66b6d68465 from 0 to 2
kube-system   53m         Normal    ScalingReplicaSet   deployment/cilium-operator                               Scaled down replica set cilium-operator-594bf6455 from 2 to 0
kube-system   53m         Normal    SuccessfulCreate    replicaset/cilium-operator-66b6d68465                    Created pod: cilium-operator-66b6d68465-2hdcw
kube-system   53m         Normal    Scheduled           pod/cilium-operator-66b6d68465-9h7p6                     Successfully assigned kube-system/cilium-operator-66b6d68465-9h7p6 to ip-10-0-10-104.ap-southeast-1.compute.internal
kube-system   53m         Normal    SuccessfulCreate    replicaset/cilium-operator-66b6d68465                    Created pod: cilium-operator-66b6d68465-9h7p6
kube-system   53m         Normal    SuccessfulDelete    replicaset/cilium-operator-594bf6455                     Deleted pod: cilium-operator-594bf6455-jtthb
kube-system   53m         Normal    SuccessfulDelete    replicaset/cilium-operator-594bf6455                     Deleted pod: cilium-operator-594bf6455-tqz7k
kube-system   53m         Normal    Scheduled           pod/cilium-operator-66b6d68465-2hdcw                     Successfully assigned kube-system/cilium-operator-66b6d68465-2hdcw to ip-10-0-10-39.ap-southeast-1.compute.internal
kube-system   53m         Warning   Unhealthy           pod/cilium-operator-66b6d68465-2hdcw                     Readiness probe failed: Get "http://127.0.0.1:9234/healthz": dial tcp 127.0.0.1:9234: connect: connection refused
kube-system   53m         Normal    Pulled              pod/cilium-operator-66b6d68465-9h7p6                     Container image "quay.io/cilium/operator-aws:v1.18.7@sha256:fe56a6289afea7f6420f8de0218710ccaaa7af891df5fc180ddd33e6c7509b45" already present on machine
kube-system   53m         Normal    Killing             pod/cilium-operator-669df9d6f8-rgjlb                     Stopping container cilium-operator
kube-system   53m         Normal    Created             pod/cilium-operator-66b6d68465-2hdcw                     Created container: cilium-operator
kube-system   53m         Normal    Started             pod/cilium-operator-66b6d68465-2hdcw                     Started container cilium-operator
kube-system   53m         Normal    Started             pod/cilium-operator-66b6d68465-9h7p6                     Started container cilium-operator
kube-system   53m         Normal    SuccessfulDelete    replicaset/cilium-operator-669df9d6f8                    Deleted pod: cilium-operator-669df9d6f8-rgjlb
kube-system   53m         Normal    Created             pod/cilium-operator-66b6d68465-9h7p6                     Created container: cilium-operator
