NAMESPACE     LAST SEEN   TYPE      REASON              OBJECT                                                                  MESSAGE
kube-system   3m          Normal    Killing             pod/hubble-relay-7cf68b958c-2lhv6                                       Container hubble-relay failed startup probe, will be restarted
kube-system   4m10s       Normal    Pulled              pod/hubble-relay-7cf68b958c-2lhv6                                       Container image "quay.io/cilium/hubble-relay:v1.18.7@sha256:9bb9b2b1a4f4bef12a77738756cfbf970daa701e536e42f0a9c64a621bc7c9d5" already present on machine
kube-system   7m47s       Warning   BackOff             pod/hubble-relay-7cf68b958c-2lhv6                                       Back-off restarting failed container hubble-relay in pod hubble-relay-7cf68b958c-2lhv6_kube-system(f15fac60-33cb-49e9-ab49-ccc9114cbbc0)
kube-system   6m9s        Warning   Unhealthy           pod/hubble-ui-576dcd986f-9bpbs                                          Readiness probe failed: Get "http://10.96.1.230:8081/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    50m         Warning   Unhealthy           pod/prometheus-grafana-5875d7786f-fppqk                                 Readiness probe failed: Get "http://10.96.0.171:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   5m32s       Normal    Killing             pod/hubble-ui-576dcd986f-9bpbs                                          Container frontend failed liveness probe, will be restarted
kube-system   31s         Normal    Pulled              pod/hubble-ui-576dcd986f-9bpbs                                          Container image "quay.io/cilium/hubble-ui:v0.13.3@sha256:661d5de7050182d495c6497ff0b007a7a1e379648e60830dd68c4d78ae21761d" already present on machine
monitoring    50m         Normal    Pulled              pod/prometheus-prometheus-kube-prometheus-prometheus-0                  Container image "quay.io/prometheus/prometheus:v2.52.0" already present on machine
monitoring    50m         Normal    Created             pod/prometheus-prometheus-kube-prometheus-prometheus-0                  Created container: prometheus
monitoring    50m         Normal    Started             pod/prometheus-prometheus-kube-prometheus-prometheus-0                  Started container prometheus
monitoring    57m         Normal    Pulled              pod/prometheus-kube-state-metrics-7cdf9894f9-xqqxh                      Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" already present on machine
monitoring    40m         Warning   Unhealthy           pod/prometheus-prometheus-kube-prometheus-prometheus-0                  Startup probe failed: Get "http://10.96.0.201:9090/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    40m         Warning   Unhealthy           pod/prometheus-grafana-5875d7786f-fppqk                                 Liveness probe failed: Get "http://10.96.0.171:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   2m45s       Warning   Unhealthy           pod/hubble-relay-7cf68b958c-2lhv6                                       Startup probe failed: timeout: failed to connect service "10.96.1.123:4222" within 1s: context deadline exceeded
monitoring    45m         Normal    Pulled              pod/prometheus-grafana-5875d7786f-fppqk                                 Container image "docker.io/grafana/grafana:11.0.0" already present on machine
monitoring    39m         Normal    Killing             pod/prometheus-grafana-5875d7786f-fppqk                                 Container grafana failed liveness probe, will be restarted
kube-system   68s         Warning   BackOff             pod/hubble-ui-576dcd986f-9bpbs                                          Back-off restarting failed container frontend in pod hubble-ui-576dcd986f-9bpbs_kube-system(b19ca7ec-22a0-454e-b4b6-8511b883cd32)
monitoring    50m         Normal    Killing             pod/prometheus-prometheus-kube-prometheus-prometheus-0                  Container prometheus failed startup probe, will be restarted
monitoring    56m         Normal    Pulling             pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Pulling image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0"
monitoring    56m         Normal    SuccessfulCreate    replicaset/prometheus-kube-state-metrics-7cdf9894f9                     Created pod: prometheus-kube-state-metrics-7cdf9894f9-pz47z
monitoring    56m         Normal    Scheduled           pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Successfully assigned monitoring/prometheus-kube-state-metrics-7cdf9894f9-pz47z to ip-10-0-10-104.ap-southeast-1.compute.internal
monitoring    56m         Normal    Pulled              pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Successfully pulled image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" in 1.866s (1.866s including waiting). Image size: 13702190 bytes.
monitoring    36m         Normal    Created             pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Created container: kube-state-metrics
monitoring    42m         Normal    Started             pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Started container kube-state-metrics
monitoring    83s         Warning   Unhealthy           pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Liveness probe failed: Get "http://10.0.10.247:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    53m         Warning   Unhealthy           pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Readiness probe failed: Get "http://10.0.10.247:8080/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    2m14s       Normal    Pulled              pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" already present on machine
monitoring    6m21s       Warning   BackOff             pod/prometheus-kube-state-metrics-7cdf9894f9-pz47z                      Back-off restarting failed container kube-state-metrics in pod prometheus-kube-state-metrics-7cdf9894f9-pz47z_monitoring(8aef6b18-48f3-480b-a3f5-f4c8fa38716b)
