NAMESPACE     LAST SEEN   TYPE      REASON                 OBJECT                                                         MESSAGE
kube-system   9m33s       Normal    Killing                pod/hubble-relay-7cf68b958c-2lhv6                              Container hubble-relay failed startup probe, will be restarted
kube-system   4m25s       Normal    Pulled                 pod/hubble-relay-7cf68b958c-2lhv6                              Container image "quay.io/cilium/hubble-relay:v1.18.7@sha256:9bb9b2b1a4f4bef12a77738756cfbf970daa701e536e42f0a9c64a621bc7c9d5" already present on machine
kube-system   16s         Warning   BackOff                pod/hubble-relay-7cf68b958c-2lhv6                              Back-off restarting failed container hubble-relay in pod hubble-relay-7cf68b958c-2lhv6_kube-system(f15fac60-33cb-49e9-ab49-ccc9114cbbc0)
kube-system   23m         Warning   Unhealthy              pod/hubble-ui-576dcd986f-9bpbs                                 Readiness probe failed: Get "http://10.96.1.230:8081/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   5m17s       Normal    Pulled                 pod/hubble-ui-576dcd986f-9bpbs                                 Container image "quay.io/cilium/hubble-ui:v0.13.3@sha256:661d5de7050182d495c6497ff0b007a7a1e379648e60830dd68c4d78ae21761d" already present on machine
kube-system   10m         Warning   Unhealthy              pod/hubble-relay-7cf68b958c-2lhv6                              Startup probe failed: timeout: failed to connect service "10.96.1.123:4222" within 1s: context deadline exceeded
kube-system   3m33s       Warning   BackOff                pod/hubble-ui-576dcd986f-9bpbs                                 Back-off restarting failed container frontend in pod hubble-ui-576dcd986f-9bpbs_kube-system(b19ca7ec-22a0-454e-b4b6-8511b883cd32)
monitoring    58m         Normal    Pulled                 pod/prometheus-grafana-5875d7786f-w4k9q                        Container image "docker.io/grafana/grafana:11.0.0" already present on machine
monitoring    54m         Warning   Unhealthy              pod/prometheus-grafana-5875d7786f-w4k9q                        Readiness probe failed: Get "http://10.0.10.45:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    52m         Normal    Killing                pod/prometheus-grafana-5875d7786f-w4k9q                        Container grafana failed liveness probe, will be restarted
monitoring    56m         Normal    Pulled                 pod/prometheus-kube-prometheus-operator-5bd97f6986-mt9pz       Container image "quay.io/prometheus-operator/prometheus-operator:v0.74.0" already present on machine
monitoring    52m         Warning   BackOff                pod/prometheus-kube-prometheus-operator-5bd97f6986-mt9pz       Back-off restarting failed container kube-prometheus-stack in pod prometheus-kube-prometheus-operator-5bd97f6986-mt9pz_monitoring(6a41e5fc-a613-4642-a3ab-1d0874424269)
kube-system   23m         Normal    Killing                pod/hubble-ui-576dcd986f-9bpbs                                 Container frontend failed liveness probe, will be restarted
monitoring    51m         Normal    ScalingReplicaSet      deployment/prometheus-grafana                                  Scaled up replica set prometheus-grafana-5875d7786f from 0 to 1
monitoring    51m         Normal    Killing                pod/prometheus-kube-state-metrics-7cdf9894f9-jhvrk             Stopping container kube-state-metrics
monitoring    51m         Normal    Scheduled              pod/prometheus-grafana-5875d7786f-w66qd                        Successfully assigned monitoring/prometheus-grafana-5875d7786f-w66qd to ip-10-0-10-104.ap-southeast-1.compute.internal
monitoring    51m         Normal    SuccessfulCreate       replicaset/prometheus-grafana-5875d7786f                       Created pod: prometheus-grafana-5875d7786f-w66qd
monitoring    51m         Normal    Pulled                 pod/prometheus-grafana-5875d7786f-w66qd                        Container image "quay.io/kiwigrid/k8s-sidecar:1.26.1" already present on machine
monitoring    51m         Normal    Started                pod/prometheus-grafana-5875d7786f-w66qd                        Started container grafana-sc-dashboard
monitoring    51m         Normal    Created                pod/prometheus-grafana-5875d7786f-w66qd                        Created container: grafana-sc-dashboard
monitoring    51m         Normal    Pulled                 pod/prometheus-grafana-5875d7786f-w66qd                        Container image "quay.io/kiwigrid/k8s-sidecar:1.26.1" already present on machine
monitoring    51m         Normal    ScalingReplicaSet      deployment/prometheus-kube-state-metrics                       Scaled up replica set prometheus-kube-state-metrics-7cdf9894f9 from 0 to 1
monitoring    50m         Normal    Created                pod/prometheus-kube-state-metrics-7cdf9894f9-qdt29             Created container: kube-state-metrics
