group,p50_ms_median,p50_ms_mean,p50_ms_stdev,p50_ms_n,p50_ms_ci_lo,p50_ms_ci_hi,p50_ms_min,p50_ms_max,p90_ms_median,p90_ms_mean,p90_ms_stdev,p90_ms_n,p90_ms_ci_lo,p90_ms_ci_hi,p90_ms_min,p90_ms_max,p99_ms_median,p99_ms_mean,p99_ms_stdev,p99_ms_n,p99_ms_ci_lo,p99_ms_ci_hi,p99_ms_min,p99_ms_max,p999_ms_median,p999_ms_mean,p999_ms_stdev,p999_ms_n,p999_ms_ci_lo,p999_ms_ci_hi,p999_ms_min,p999_ms_max,max_ms_median,max_ms_mean,max_ms_stdev,max_ms_n,max_ms_ci_lo,max_ms_ci_hi,max_ms_min,max_ms_max,rps_median,rps_mean,rps_stdev,rps_n,rps_ci_lo,rps_ci_hi,rps_min,rps_max,error_rate_pct_median,error_rate_pct_mean,error_rate_pct_stdev,error_rate_pct_n,error_rate_pct_ci_lo,error_rate_pct_ci_hi,error_rate_pct_min,error_rate_pct_max
A_kube-proxy+S1+L1,0.001,0.001,0.000,3.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,3.000,0.001,0.001,0.001,0.001,0.002,0.002,0.000,3.000,0.002,0.002,0.002,0.002,0.003,0.003,0.000,3.000,0.002,0.003,0.003,0.003,6.063,5.542,1.268,3.000,2.391,8.693,4.096,6.467,99.999,99.999,0.001,3.000,99.997,100.000,99.998,99.999,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
A_kube-proxy+S1+L2,0.002,0.002,0.000,3.000,0.001,0.002,0.001,0.002,0.003,0.003,0.000,3.000,0.003,0.003,0.003,0.003,0.004,0.004,0.000,3.000,0.004,0.004,0.004,0.004,0.006,0.006,0.000,3.000,0.006,0.006,0.006,0.006,8.496,8.663,0.657,3.000,7.031,10.295,8.105,9.387,399.993,399.991,0.004,3.000,399.980,400.002,399.986,399.994,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
A_kube-proxy+S1+L3,0.003,0.003,0.000,3.000,0.003,0.003,0.003,0.003,0.005,0.005,0.000,3.000,0.005,0.005,0.005,0.005,0.007,0.007,0.000,3.000,0.006,0.007,0.007,0.007,0.010,0.011,0.001,3.000,0.007,0.014,0.010,0.012,14.407,16.625,4.940,3.000,4.352,28.898,13.183,22.286,799.964,799.968,0.007,3.000,799.950,799.985,799.963,799.976,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
A_kube-proxy+S2+L2,0.003,0.002,0.001,18.000,0.002,0.002,0.001,0.003,0.005,0.004,0.001,18.000,0.004,0.004,0.003,0.005,0.007,0.006,0.001,18.000,0.005,0.007,0.004,0.007,0.009,0.009,0.002,18.000,0.008,0.010,0.005,0.014,9.916,10.199,2.687,18.000,8.863,11.535,5.084,15.718,499.841,433.221,184.630,18.000,341.399,525.044,199.960,599.870,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000
A_kube-proxy+S2+L3,0.005,0.004,0.001,18.000,0.003,0.005,0.002,0.005,0.009,0.008,0.002,18.000,0.006,0.009,0.004,0.010,0.012,0.011,0.003,18.000,0.010,0.013,0.006,0.016,0.015,0.016,0.005,18.000,0.013,0.018,0.008,0.023,17.687,17.943,6.057,18.000,14.931,20.955,8.644,26.040,999.438,866.247,369.094,18.000,682.685,1049.809,399.899,1199.554,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S1+L1,0.001,0.001,0.000,3.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,3.000,0.001,0.001,0.001,0.001,0.002,0.002,0.000,3.000,0.001,0.002,0.002,0.002,0.002,0.002,0.000,3.000,0.001,0.003,0.002,0.003,6.063,6.112,3.058,3.000,-1.484,13.708,3.079,9.194,99.999,99.999,0.000,3.000,99.999,99.999,99.999,99.999,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S1+L2,0.001,0.001,0.000,3.000,0.001,0.002,0.001,0.001,0.003,0.003,0.000,3.000,0.002,0.003,0.003,0.003,0.004,0.004,0.000,3.000,0.003,0.004,0.004,0.004,0.005,0.005,0.000,3.000,0.004,0.006,0.005,0.006,7.379,8.233,2.240,3.000,2.667,13.799,6.546,10.775,399.990,399.991,0.002,3.000,399.985,399.997,399.989,399.994,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S1+L3,0.002,0.002,0.000,3.000,0.002,0.002,0.002,0.002,0.004,0.004,0.000,3.000,0.004,0.004,0.004,0.004,0.006,0.006,0.000,3.000,0.006,0.006,0.006,0.006,0.008,0.008,0.000,3.000,0.007,0.008,0.008,0.008,10.847,11.418,1.929,3.000,6.627,16.209,9.839,13.567,799.978,799.974,0.009,3.000,799.951,799.996,799.963,799.980,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S2+L2,0.002,0.002,0.001,18.000,0.002,0.002,0.001,0.003,0.004,0.004,0.001,18.000,0.003,0.004,0.002,0.005,0.006,0.006,0.002,18.000,0.005,0.006,0.004,0.008,0.008,0.008,0.003,18.000,0.007,0.009,0.005,0.014,9.086,8.935,3.161,18.000,7.363,10.507,4.703,15.727,499.832,433.215,184.620,18.000,341.398,525.033,199.971,599.877,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S2+L3,0.004,0.004,0.001,18.000,0.003,0.004,0.002,0.004,0.008,0.007,0.002,18.000,0.006,0.008,0.004,0.008,0.011,0.010,0.003,18.000,0.008,0.011,0.006,0.012,0.014,0.013,0.004,18.000,0.011,0.014,0.007,0.018,14.955,14.378,4.368,18.000,12.206,16.551,7.805,21.607,999.489,866.275,369.115,18.000,682.703,1049.848,399.897,1199.610,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000
