scenario,load,phase,metric,A_mean,A_ci_lo,A_ci_hi,A_stdev,A_n,B_mean,B_ci_lo,B_ci_hi,B_stdev,B_n,delta_pct,p_value,significant,winner
S1,L1,,p50_ms,0.564,0.558,0.571,0.003,3,0.551,0.537,0.565,0.006,3,-2.410,0.0330,YES,B
S1,L1,,p90_ms,0.953,0.938,0.968,0.006,3,0.932,0.915,0.950,0.007,3,-2.214,0.0172,YES,B
S1,L1,,p99_ms,1.846,1.745,1.947,0.041,3,1.667,1.405,1.929,0.105,3,-9.702,0.0838,NO,B
S1,L1,,p999_ms,2.657,2.243,3.070,0.166,3,2.397,1.461,3.334,0.377,3,-9.762,0.3618,NO,B
S1,L1,,max_ms,5.542,2.391,8.693,1.268,3,6.112,-1.484,13.708,3.058,3,10.288,0.7872,NO,A
S1,L1,,rps,99.999,99.997,100.000,0.001,3,99.999,99.999,99.999,0.000,3,0.000,0.6382,NO,A
S1,L2,,p50_ms,1.522,1.439,1.605,0.033,3,1.453,1.401,1.505,0.021,3,-4.548,0.0483,YES,B
S1,L2,,p90_ms,2.748,2.608,2.888,0.056,3,2.599,2.494,2.705,0.043,3,-5.405,0.0249,YES,B
S1,L2,,p99_ms,3.939,3.875,4.004,0.026,3,3.712,3.493,3.931,0.088,3,-5.766,0.0377,YES,B
S1,L2,,p999_ms,6.005,5.632,6.378,0.150,3,5.070,4.067,6.073,0.404,3,-15.574,0.0435,YES,B
S1,L2,,max_ms,8.663,7.031,10.295,0.657,3,8.233,2.667,13.799,2.240,3,-4.957,0.7763,NO,B
S1,L2,,rps,399.991,399.980,400.002,0.004,3,399.991,399.985,399.997,0.002,3,-0.000,0.9343,NO,B
S1,L3,,p50_ms,2.540,2.516,2.564,0.010,3,2.335,2.276,2.395,0.024,3,-8.043,0.0016,YES,B
S1,L3,,p90_ms,4.622,4.532,4.713,0.037,3,4.051,3.893,4.209,0.064,3,-12.362,0.0006,YES,B
S1,L3,,p99_ms,6.899,6.303,7.494,0.240,3,5.917,5.886,5.949,0.013,3,-14.223,0.0191,YES,B
S1,L3,,p999_ms,10.795,7.231,14.360,1.435,3,7.875,7.370,8.380,0.203,3,-27.052,0.0692,NO,B
S1,L3,,max_ms,16.625,4.352,28.898,4.940,3,11.418,6.627,16.209,1.929,3,-31.322,0.2016,NO,B
S1,L3,,rps,799.968,799.950,799.985,0.007,3,799.974,799.951,799.996,0.009,3,0.001,0.4184,NO,A
S2,L2,phase1_rampup,p50_ms,1.491,1.486,1.495,0.002,3,1.437,1.404,1.470,0.013,3,-3.629,0.0180,YES,B
