group,p50_ms_median,p50_ms_mean,p50_ms_stdev,p50_ms_n,p50_ms_ci_lo,p50_ms_ci_hi,p50_ms_min,p50_ms_max,p90_ms_median,p90_ms_mean,p90_ms_stdev,p90_ms_n,p90_ms_ci_lo,p90_ms_ci_hi,p90_ms_min,p90_ms_max,p99_ms_median,p99_ms_mean,p99_ms_stdev,p99_ms_n,p99_ms_ci_lo,p99_ms_ci_hi,p99_ms_min,p99_ms_max,p999_ms_median,p999_ms_mean,p999_ms_stdev,p999_ms_n,p999_ms_ci_lo,p999_ms_ci_hi,p999_ms_min,p999_ms_max,max_ms_median,max_ms_mean,max_ms_stdev,max_ms_n,max_ms_ci_lo,max_ms_ci_hi,max_ms_min,max_ms_max,rps_median,rps_mean,rps_stdev,rps_n,rps_ci_lo,rps_ci_hi,rps_min,rps_max,error_rate_pct_median,error_rate_pct_mean,error_rate_pct_stdev,error_rate_pct_n,error_rate_pct_ci_lo,error_rate_pct_ci_hi,error_rate_pct_min,error_rate_pct_max
A_kube-proxy+S1+L1,0.565,0.562,0.004,3.000,0.552,0.573,0.557,0.565,0.955,0.955,0.001,3.000,0.953,0.957,0.954,0.956,1.872,1.881,0.018,3.000,1.835,1.926,1.868,1.902,2.870,2.842,0.051,3.000,2.715,2.969,2.783,2.874,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
A_kube-proxy+S1+L2,1.530,1.529,0.008,3.000,1.509,1.549,1.520,1.536,2.759,2.762,0.007,3.000,2.745,2.780,2.758,2.770,4.198,4.132,0.114,3.000,3.848,4.416,4.000,4.199,7.317,7.964,1.123,3.000,5.175,10.754,7.315,9.261,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
A_kube-proxy+S1+L3,2.521,2.523,0.009,3.000,2.500,2.546,2.514,2.533,4.536,4.528,0.022,3.000,4.474,4.583,4.504,4.546,6.940,7.098,0.322,3.000,6.298,7.899,6.886,7.469,12.338,12.666,1.144,3.000,9.824,15.508,11.721,13.938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
A_kube-proxy+S2+L2,10.483,9.866,1.662,7.000,8.329,11.403,6.118,10.750,14.262,13.372,2.333,7.000,11.214,15.530,8.115,14.590,19.763,18.763,3.149,7.000,15.851,21.676,12.513,21.223,26.208,28.189,8.159,7.000,20.643,35.735,20.974,45.004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000
A_kube-proxy+S2+L3,14.969,15.025,4.874,12.000,11.928,18.122,10.184,20.043,20.544,20.680,6.771,12.000,16.378,24.983,13.961,28.507,28.250,28.522,8.522,12.000,23.107,33.936,19.052,42.973,39.604,38.195,12.053,12.000,30.537,45.853,23.491,58.581,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S1+L1,0.548,0.550,0.005,3.000,0.538,0.561,0.546,0.555,0.925,0.924,0.001,3.000,0.922,0.926,0.923,0.925,1.473,1.480,0.029,3.000,1.408,1.553,1.455,1.512,1.956,1.959,0.007,3.000,1.942,1.976,1.954,1.966,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S1+L2,1.458,1.463,0.013,3.000,1.431,1.495,1.453,1.478,2.584,2.587,0.015,3.000,2.551,2.623,2.574,2.603,3.658,3.648,0.021,3.000,3.596,3.701,3.624,3.664,4.661,4.665,0.042,3.000,4.560,4.770,4.625,4.709,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S1+L3,2.375,2.391,0.031,3.000,2.314,2.468,2.371,2.426,4.142,4.154,0.032,3.000,4.074,4.233,4.130,4.190,5.946,5.958,0.032,3.000,5.878,6.037,5.933,5.994,8.087,8.126,0.207,3.000,7.612,8.641,7.941,8.350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S2+L2,13.355,12.082,2.461,8.000,10.024,14.140,7.999,13.516,19.201,17.249,3.664,8.000,14.185,20.313,11.192,19.362,24.455,21.825,4.933,8.000,17.700,25.950,13.823,24.673,26.512,24.524,5.412,8.000,19.999,29.048,14.977,29.914,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S2+L3,19.028,19.036,5.701,12.000,15.413,22.658,13.240,24.911,27.406,27.527,8.326,12.000,22.237,32.818,18.907,36.622,35.386,34.698,9.633,12.000,28.578,40.818,24.563,44.854,42.501,40.420,9.785,12.000,34.202,46.637,27.646,52.762,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000
B_cilium-ebpfkpr+S3+L2+off,1.452,1.452,0.006,3.000,1.437,1.468,1.446,1.459,2.572,2.571,0.008,3.000,2.551,2.591,2.563,2.579,3.708,3.700,0.023,3.000,3.644,3.756,3.674,3.718,5.367,5.309,0.447,3.000,4.197,6.420,4.835,5.724,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000
