scenario,load,metric,A_mean,A_ci_lo,A_ci_hi,A_stdev,A_n,B_mean,B_ci_lo,B_ci_hi,B_stdev,B_n,delta_pct,p_value,significant,winner
S1,L1,p50_ms,0.562,0.552,0.573,0.004,3,0.550,0.538,0.561,0.005,3,-2.287,0.0239,YES,B
S1,L1,p90_ms,0.955,0.953,0.957,0.001,3,0.924,0.922,0.926,0.001,3,-3.211,0.0000,YES,B
S1,L1,p99_ms,1.881,1.835,1.926,0.018,3,1.480,1.408,1.553,0.029,3,-21.298,0.0001,YES,B
S1,L1,p999_ms,2.842,2.715,2.969,0.051,3,1.959,1.942,1.976,0.007,3,-31.080,0.0009,YES,B
S1,L2,p50_ms,1.529,1.509,1.549,0.008,3,1.463,1.431,1.495,0.013,3,-4.322,0.0033,YES,B
S1,L2,p90_ms,2.762,2.745,2.780,0.007,3,2.587,2.551,2.623,0.015,3,-6.352,0.0004,YES,B
S1,L2,p99_ms,4.132,3.848,4.416,0.114,3,3.648,3.596,3.701,0.021,3,-11.705,0.0156,YES,B
S1,L2,p999_ms,7.964,5.175,10.754,1.123,3,4.665,4.560,4.770,0.042,3,-41.423,0.0364,YES,B
S1,L3,p50_ms,2.523,2.500,2.546,0.009,3,2.391,2.314,2.468,0.031,3,-5.235,0.0121,YES,B
S1,L3,p90_ms,4.528,4.474,4.583,0.022,3,4.154,4.074,4.233,0.032,3,-8.273,0.0002,YES,B
S1,L3,p99_ms,7.098,6.298,7.899,0.322,3,5.958,5.878,6.037,0.032,3,-16.070,0.0246,YES,B
S1,L3,p999_ms,12.666,9.824,15.508,1.144,3,8.126,7.612,8.641,0.207,3,-35.842,0.0179,YES,B
S2,L2,p50_ms,9.866,8.329,11.403,1.662,7,12.082,10.024,14.140,2.461,8,22.461,0.0607,NO,A
S2,L2,p90_ms,13.372,11.214,15.530,2.333,7,17.249,14.185,20.313,3.664,8,28.992,0.0293,YES,A
S2,L2,p99_ms,18.763,15.851,21.676,3.149,7,21.825,17.700,25.950,4.933,8,16.317,0.1727,NO,A
S2,L2,p999_ms,28.189,20.643,35.735,8.159,7,24.524,19.999,29.048,5.412,8,-13.003,0.3358,NO,B
S2,L3,p50_ms,15.025,11.928,18.122,4.874,12,19.036,15.413,22.658,5.701,12,26.693,0.0778,NO,A
S2,L3,p90_ms,20.680,16.378,24.983,6.771,12,27.527,22.237,32.818,8.326,12,33.109,0.0383,YES,A
S2,L3,p99_ms,28.522,23.107,33.936,8.522,12,34.698,28.578,40.818,9.633,12,21.654,0.1106,NO,A
S2,L3,p999_ms,38.195,30.537,45.853,12.053,12,40.420,34.202,46.637,9.785,12,5.825,0.6247,NO,A
